# ell   TT    EE     BB    TE    PP    TP    EP
   160   5.9727564e+03   1.3008907e+00   0.0000000e+00  -5.7797220e+01   7.0228455e-08   7.3820288e-11  -3.1677556e-13
   161   6.0111651e+03   1.2895591e+00   0.0000000e+00  -5.7514342e+01   6.9835318e-08   7.3147944e-11  -3.1612696e-13
   162   6.0492074e+03   1.2778395e+00   0.0000000e+00  -5.7197728e+01   6.9445442e-08   7.2483150e-11  -3.1533424e-13
   163   6.0868740e+03   1.2657704e+00   0.0000000e+00  -5.6846894e+01   6.9058771e-08   7.1825934e-11  -3.1438413e-13
   164   6.1241350e+03   1.2533504e+00   0.0000000e+00  -5.6461857e+01   6.8675300e-08   7.1176375e-11  -3.1326359e-13
   165   6.1609910e+03   1.2406081e+00   0.0000000e+00  -5.6042234e+01   6.8295010e-08   7.0534509e-11  -3.1195940e-13
   166   6.1974224e+03   1.2275719e+00   0.0000000e+00  -5.5587943e+01   6.7917878e-08   6.9900406e-11  -3.1045849e-13
   167   6.2334195e+03   1.2142706e+00   0.0000000e+00  -5.5098801e+01   6.7543875e-08   6.9274095e-11  -3.0874759e-13
   168   6.2689729e+03   1.2007326e+00   0.0000000e+00  -5.4574925e+01   6.7172981e-08   6.8655647e-11  -3.0681366e-13
   169   6.3040727e+03   1.1869865e+00   0.0000000e+00  -5.4016132e+01   6.6805189e-08   6.8045123e-11  -3.0464357e-13
   170   6.3387096e+03   1.1730508e+00   0.0000000e+00  -5.3422339e+01   6.6440449e-08   6.7442544e-11  -3.0222404e-13
   171   6.3728639e+03   1.1589643e+00   0.0000000e+00  -5.2793463e+01   6.6078754e-08   6.6847981e-11  -2.9954202e-13
   172   6.4065460e+03   1.1447553e+00   0.0000000e+00  -5.2129522e+01   6.5720091e-08   6.6261503e-11  -2.9658444e-13
   173   6.4397263e+03   1.1304525e+00   0.0000000e+00  -5.1430432e+01   6.5364416e-08   6.5683140e-11  -2.9333805e-13
   174   6.4723952e+03   1.1160844e+00   0.0000000e+00  -5.0696211e+01   6.5011725e-08   6.5112945e-11  -2.8978974e-13
   175   6.5045531e+03   1.1016996e+00   0.0000000e+00  -4.9927076e+01   6.4662003e-08   6.4550990e-11  -2.8592644e-13
   176   6.5361805e+03   1.0873166e+00   0.0000000e+00  -4.9122939e+01   6.4315213e-08   6.3997272e-11  -2.8174010e-13
   177   6.5672682e+03   1.0729828e+00   0.0000000e+00  -4.8283794e+01   6.3971314e-08   6.3451603e-11  -2.7724315e-13
   178   6.5977969e+03   1.0587259e+00   0.0000000e+00  -4.7409731e+01   6.3630309e-08   6.2913783e-11  -2.7245330e-13
